,time
532,132 min
533,100 min
534,88 min
535,90 min
536,86 min
537,87 min
538,86 min
539,95 min
540,94 min
541,90 min
542,87 min
543,99 min
544,99 min
545,122 min
546,96 min
547,160 min
548,96 min
549,91 min
550,91 min
551,60 min
552,82 min
553,66 min
554,98 min
555,90 min
556,83 min
557,93 min
558,90 min
559,91 min
560,70 min
561,111 min
562,95 min
563,98 min
564,90 min
565,89 min
566,98 min
567,60 min
568,105 min
569,95 min
570,93 min
571,80 min
572,100 min
573,90 min
574,112 min
575,90 min
576,110 min
577,92 min
578,101 min
579,112 min
580,90 min
581,85 min
582,110 min
583,94 min
584,95 min
585,91 min
586,96 min
587,93 min
588,100 min
589,100 min
590,97 min
591,116 min
592,95 min
593,89 min
594,75 min
595,78 min
596,60 min
597,90 min
598,84 min
599,128 min
600,100 min
601,88 min
602,90 min
603,95 min
604,85 min
605,84 min
606,92 min
607,95 min
608,90 min
609,106 min
610,106 min
611,60 min
612,89 min
613,88 min
614,90 min
615,70 min
616,88 min
617,62 min
618,95 min
619,123 min
620,107 min
621,93 min
622,91 min
623,111 min
624,90 min
625,151 min
626,71 min
627,113 min
628,101 min
629,95 min
630,82 min
631,92 min
632,98 min
633,112 min
634,127 min
635,97 min
636,92 min
637,90 min
638,124 min
639,90 min
640,90 min
641,80 min
642,95 min
643,105 min
644,90 min
645,95 min
646,169 min
647,95 min
648,99 min
649,84 min
650,119 min
651,105 min
652,110 min
653,110 min
654,104 min
655,138 min
656,50 min
657,61 min
658,57 min
659,100 min
660,80 min
661,115 min
662,88 min
663,94 min
664,51 min
665,113 min
666,65 min
667,68 min
668,93 min
669,90 min
670,50 min
671,102 min
672,141 min
673,90 min
674,72 min
675,47 min
676,76 min
677,87 min
678,96 min
679,53 min
680,60 min
681,91 min
682,97 min
683,90 min
684,71 min
685,93 min
686,128 min
687,80 min
688,81 min
689,104 min
690,90 min
691,60 min
692,100 min
693,50 min
694,97 min
695,85 min
696,97 min
697,97 min
698,108 min
699,90 min
700,80 min
701,60 min
702,125 min
703,104 min
704,111 min
705,98 min
706,80 min
707,73 min
708,88 min
709,90 min
710,98 min
711,86 min
712,147 min
713,93 min
714,88 min
715,120 min
716,92 min
717,65 min
718,114 min
719,80 min
720,105 min
721,88 min
722,103 min
723,92 min
724,90 min
725,140 min
726,94 min
727,90 min
728,112 min
729,90 min
730,84 min
731,80 min
732,60 min
733,79 min
734,95 min
735,91 min
736,90 min
737,90 min
738,84 min
739,92 min
740,117 min
741,101 min
742,88 min
743,100 min
744,160 min
745,60 min
746,95 min
747,140 min
748,81 min
749,74 min
750,56 min
751,91 min
752,101 min
753,126 min
754,60 min
755,60 min
756,140 min
757,108 min
758,87 min
759,100 min
760,84 min
761,83 min
762,72 min
763,87 min
764,104 min
765,90 min
766,93 min
767,131 min
768,88 min
769,83 min
770,124 min
771,93 min
772,92 min
773,145 min
774,89 min
775,108 min
776,102 min
777,106 min
778,86 min
779,90 min
780,95 min
781,94 min
782,87 min
783,92 min
784,110 min
785,97 min
786,70 min
787,78 min
788,86 min
789,95 min
790,95 min
791,94 min
792,91 min
793,90 min
794,100 min
795,62 min
796,60 min
797,90 min
798,96 min
799,91 min
800,90 min
801,90 min
802,102 min
803,102 min
804,96 min
805,92 min
806,90 min
807,52 min
808,85 min
809,93 min
810,122 min
811,95 min
812,127 min
813,77 min
814,125 min
815,169 min
816,98 min
817,92 min
818,89 min
819,110 min
820,72 min
821,90 min
822,96 min
823,102 min
824,90 min
825,104 min
826,94 min
827,90 min
828,90 min
829,75 min
830,106 min
831,95 min
832,110 min
833,123 min
834,130 min
835,109 min
836,89 min
837,78 min
838,95 min
839,103 min
840,58 min
841,62 min
842,60 min
843,72 min
844,95 min
845,115 min
846,105 min
847,89 min
848,89 min
849,130 min
850,79 min
851,84 min
852,90 min
853,80 min
854,92 min
855,101 min
856,92 min
857,79 min
858,170 min
859,92 min
860,88 min
861,88 min
862,90 min
863,84 min
864,60 min
865,60 min
866,96 min
867,88 min
868,94 min
869,116 min
870,196 min
871,122 min
872,97 min
873,90 min
874,110 min
875,98 min
876,93 min
877,85 min
878,89 min
879,74 min
880,112 min
881,93 min
882,98 min
883,81 min
884,115 min
885,87 min
886,109 min
887,93 min
888,115 min
889,92 min
890,91 min
891,60 min
892,62 min
893,97 min
894,97 min
895,110 min
896,104 min
897,92 min
898,90 min
899,91 min
900,85 min
901,127 min
902,85 min
903,97 min
904,96 min
905,90 min
906,100 min
907,99 min
908,98 min
909,114 min
910,132 min
911,83 min
912,105 min
913,87 min
914,100 min
915,105 min
916,111 min
917,88 min
918,95 min
919,97 min
920,81 min
921,95 min
922,85 min
923,93 min
924,93 min
925,87 min
926,96 min
927,88 min
928,95 min
929,111 min
930,75 min
