,time
2118,114 min
2119,105 min
2120,96 min
2121,110 min
2122,89 min
2123,88 min
2124,103 min
2125,110 min
2126,178 min
2127,78 min
2128,155 min
2129,60 min
2130,57 min
2131,95 min
2132,97 min
2133,92 min
2134,93 min
2135,90 min
2136,105 min
2137,113 min
2138,90 min
2139,92 min
2140,96 min
2141,125 min
2142,102 min
2143,150 min
2144,93 min
2145,99 min
2146,86 min
2147,89 min
2148,89 min
2149,81 min
2150,110 min
2151,104 min
2152,86 min
2153,107 min
2154,100 min
2155,95 min
2156,105 min
2157,103 min
2158,89 min
2159,96 min
2160,94 min
2161,109 min
2162,104 min
2163,96 min
2164,45 min
2165,90 min
2166,107 min
2167,168 min
2168,94 min
2169,98 min
2170,100 min
2171,91 min
2172,113 min
2173,117 min
2174,105 min
2175,110 min
2176,93 min
2177,98 min
2178,110 min
2179,83 min
2180,117 min
2181,120 min
2182,180 min
2183,84 min
2184,118 min
2185,109 min
2186,97 min
2187,76 min
2188,48 min
2189,60 min
2190,57 min
2191,114 min
2192,158 min
2193,120 min
2194,90 min
2195,75 min
2196,93 min
2197,86 min
2198,87 min
2199,90 min
2200,94 min
2201,97 min
2202,90 min
2203,75 min
2204,55 min
2205,94 min
2206,100 min
2207,105 min
2208,105 min
2209,91 min
2210,80 min
2211,50 min
2212,90 min
2213,58 min
2214,60 min
2215,152 min
2216,88 min
2217,90 min
2218,55 min
2219,108 min
2220,100 min
2221,131 min
2222,97 min
2223,95 min
2224,148 min
2225,101 min
2226,123 min
2227,87 min
2228,87 min
2229,45 min
2230,82 min
2231,60 min
2232,70 min
2233,93 min
2234,85 min
2235,100 min
2236,103 min
2237,90 min
2238,87 min
2239,99 min
2240,119 min
2241,104 min
2242,85 min
2243,95 min
2244,83 min
2245,130 min
2246,90 min
2247,90 min
2248,108 min
2249,103 min
2250,107 min
2251,113 min
2252,90 min
2253,110 min
2254,90 min
2255,110 min
2256,106 min
2257,64 min
2258,130 min
2259,60 min
2260,91 min
2261,106 min
2262,111 min
2263,114 min
2264,119 min
2265,100 min
2266,54 min
2267,110 min
2268,93 min
2269,99 min
2270,90 min
2271,91 min
2272,91 min
2273,90 min
2274,95 min
2275,75 min
2276,87 min
2277,115 min
2278,102 min
2279,106 min
2280,103 min
2281,100 min
2282,90 min
2283,105 min
2284,93 min
2285,90 min
2286,100 min
2287,90 min
2288,103 min
2289,119 min
2290,165 min
2291,138 min
2292,151 min
2293,156 min
2294,118 min
2295,95 min
2296,104 min
2297,87 min
2298,115 min
2299,95 min
2300,104 min
2301,95 min
2302,52 min
2303,87 min
2304,86 min
2305,75 min
2306,110 min
2307,153 min
2308,90 min
2309,90 min
2310,98 min
2311,93 min
2312,177 min
2313,95 min
2314,146 min
2315,153 min
2316,120 min
2317,110 min
2318,100 min
2319,110 min
2320,124 min
2321,92 min
2322,74 min
2323,94 min
2324,53 min
2325,115 min
2326,106 min
2327,85 min
2328,95 min
2329,100 min
2330,91 min
2331,101 min
2332,93 min
2333,72 min
2334,91 min
2335,151 min
2336,70 min
2337,60 min
2338,61 min
2339,120 min
2340,84 min
2341,65 min
2342,126 min
2343,118 min
2344,90 min
2345,61 min
2346,97 min
2347,95 min
2348,89 min
2349,108 min
2350,180 min
2351,100 min
2352,90 min
2353,91 min
2354,60 min
2355,120 min
2356,108 min
2357,86 min
2358,85 min
2359,90 min
2360,90 min
2361,98 min
2362,115 min
2363,96 min
2364,105 min
2365,90 min
2366,115 min
2367,89 min
2368,90 min
2369,90 min
2370,87 min
2371,56 min
2372,63 min
2373,90 min
2374,134 min
2375,91 min
2376,90 min
2377,112 min
2378,80 min
2379,101 min
2380,86 min
2381,115 min
2382,90 min
2383,101 min
2384,94 min
2385,54 min
2386,124 min
2387,101 min
2388,87 min
2389,82 min
2390,90 min
2391,102 min
2392,100 min
2393,95 min
2394,95 min
2395,150 min
2396,78 min
2397,110 min
2398,116 min
2399,110 min
2400,97 min
2401,113 min
2402,80 min
2403,95 min
2404,90 min
2405,83 min
2406,96 min
2407,110 min
2408,85 min
2409,78 min
2410,95 min
2411,90 min
2412,90 min
2413,87 min
2414,84 min
2415,85 min
2416,57 min
2417,60 min
2418,50 min
2419,94 min
2420,98 min
2421,84 min
2422,100 min
2423,50 min
2424,82 min
2425,60 min
2426,114 min
2427,60 min
2428,60 min
2429,102 min
2430,99 min
2431,132 min
2432,75 min
2433,78 min
2434,100 min
2435,116 min
2436,96 min
2437,92 min
2438,94 min
2439,120 min
2440,86 min
2441,94 min
2442,92 min
2443,93 min
2444,123 min
2445,51 min
2446,93 min
2447,93 min
2448,96 min
2449,92 min
2450,89 min
2451,100 min
2452,131 min
2453,143 min
2454,59 min
2455,107 min
2456,130 min
2457,70 min
2458,80 min
2459,100 min
2460,119 min
2461,80 min
2462,82 min
2463,178 min
2464,89 min
2465,136 min
2466,93 min
2467,119 min
2468,97 min
2469,139 min
2470,118 min
2471,157 min
2472,152 min
2473,100 min
2474,94 min
2475,102 min
2476,85 min
2477,110 min
2478,90 min
2479,76 min
2480,60 min
2481,89 min
2482,135 min
2483,94 min
2484,90 min
2485,60 min
2486,90 min
2487,210 min
2488,102 min
2489,113 min
2490,91 min
2491,90 min
2492,85 min
2493,98 min
2494,100 min
2495,90 min
2496,138 min
2497,103 min
2498,53 min
2499,93 min
2500,75 min
2501,143 min
2502,100 min
2503,135 min
2504,120 min
2505,90 min
2506,94 min
2507,109 min
2508,121 min
2509,112 min
2510,93 min
2511,111 min
2512,144 min
2513,94 min
2514,94 min
2515,86 min
2516,100 min
2517,84 min
2518,98 min
2519,91 min
2520,84 min
2521,45 min
2522,94 min
2523,92 min
2524,100 min
2525,158 min
2526,107 min
2527,95 min
2528,98 min
2529,80 min
2530,114 min
2531,150 min
2532,99 min
2533,75 min
2534,94 min
2535,70 min
2536,130 min
2537,60 min
2538,80 min
2539,82 min
2540,63 min
2541,60 min
2542,75 min
2543,114 min
2544,100 min
2545,89 min
2546,92 min
2547,100 min
2548,113 min
2549,90 min
2550,130 min
2551,115 min
2552,100 min
2553,90 min
2554,99 min
2555,111 min
2556,90 min
2557,45 min
2558,141 min
2559,95 min
2560,80 min
2561,98 min
2562,90 min
2563,157 min
2564,62 min
2565,59 min
2566,59 min
2567,57 min
2568,60 min
2569,100 min
2570,150 min
2571,110 min
2572,93 min
2573,86 min
2574,90 min
2575,92 min
2576,90 min
2577,91 min
2578,85 min
2579,91 min
2580,98 min
2581,119 min
2582,90 min
2583,80 min
2584,115 min
2585,93 min
2586,93 min
2587,100 min
2588,115 min
2589,76 min
2590,90 min
2591,97 min
2592,118 min
2593,86 min
2594,94 min
2595,90 min
2596,106 min
2597,82 min
2598,90 min
2599,82 min
2600,92 min
2601,90 min
2602,90 min
2603,130 min
2604,98 min
2605,93 min
2606,85 min
2607,104 min
2608,89 min
2609,90 min
2610,165 min
2611,99 min
2612,94 min
2613,83 min
2614,93 min
2615,95 min
2616,120 min
2617,120 min
2618,95 min
2619,120 min
2620,77 min
2621,90 min
2622,88 min
2623,94 min
2624,105 min
2625,100 min
2626,99 min
2627,90 min
2628,60 min
2629,84 min
2630,94 min
2631,95 min
2632,80 min
2633,87 min
2634,122 min
2635,144 min
2636,99 min
2637,91 min
2638,92 min
2639,96 min
2640,90 min
2641,101 min
2642,89 min
2643,89 min
2644,112 min
2645,90 min
2646,100 min
2647,96 min
2648,104 min
2649,90 min
2650,63 min
2651,47 min
2652,87 min
2653,83 min
2654,95 min
2655,85 min
2656,125 min
2657,95 min
2658,50 min
2659,100 min
2660,86 min
2661,88 min
2662,80 min
2663,90 min
2664,76 min
2665,75 min
2666,178 min
2667,78 min
2668,94 min
2669,79 min
2670,100 min
2671,74 min
2672,90 min
2673,95 min
2674,60 min
2675,85 min
2676,52 min
2677,90 min
2678,94 min
2679,93 min
2680,112 min
2681,97 min
2682,86 min
2683,86 min
2684,89 min
2685,80 min
2686,87 min
2687,94 min
2688,71 min
2689,143 min
2690,93 min
2691,99 min
2692,90 min
2693,98 min
2694,89 min
2695,80 min
2696,76 min
2697,91 min
2698,78 min
2699,90 min
2700,80 min
2701,102 min
2702,91 min
2703,94 min
2704,65 min
2705,85 min
2706,89 min
2707,60 min
2708,66 min
2709,77 min
2710,89 min
2711,165 min
2712,89 min
2713,315 min
2714,63 min
2715,71 min
2716,108 min
2717,77 min
2718,96 min
2719,109 min
2720,90 min
2721,75 min
2722,91 min
2723,95 min
2724,90 min
2725,52 min
2726,122 min
2727,108 min
2728,45 min
2729,100 min
2730,82 min
2731,90 min
2732,95 min
2733,65 min
2734,88 min
2735,86 min
2736,136 min
2737,96 min
2738,90 min
2739,83 min
2740,88 min
2741,80 min
2742,48 min
2743,75 min
2744,81 min
2745,124 min
2746,100 min
2747,50 min
2748,98 min
2749,85 min
2750,95 min
2751,45 min
2752,110 min
2753,100 min
2754,47 min
2755,45 min
2756,140 min
2757,97 min
2758,63 min
2759,96 min
2760,84 min
2761,90 min
2762,85 min
2763,90 min
2764,45 min
2765,84 min
2766,75 min
2767,135 min
2768,86 min
2769,87 min
2770,80 min
2771,45 min
2772,78 min
2773,62 min
2774,136 min
2775,91 min
2776,105 min
2777,90 min
2778,90 min
2779,80 min
2780,75 min
2781,99 min
2782,86 min
2783,90 min
2784,75 min
2785,99 min
2786,86 min
2787,96 min
2788,103 min
2789,5 min
2790,92 min
2791,60 min
2792,70 min
2793,96 min
2794,49 min
2795,118 min
2796,121 min
2797,72 min
2798,81 min
2799,110 min
2800,158 min
2801,85 min
2802,60 min
2803,90 min
2804,50 min
2805,96 min
2806,90 min
2807,152 min
2808,75 min
2809,90 min
2810,113 min
2811,90 min
2812,90 min
2813,75 min
2814,90 min
2815,70 min
2816,90 min
2817,71 min
2818,93 min
2819,90 min
2820,90 min
2821,90 min
2822,70 min
2823,90 min
2824,90 min
2825,90 min
2826,90 min
2827,90 min
2828,90 min
2829,90 min
2830,90 min
2831,90 min
2832,104 min
2833,83 min
2834,85 min
2835,80 min
2836,85 min
2837,90 min
2838,102 min
2839,48 min
2840,60 min
2841,85 min
2842,150 min
2843,60 min
2844,85 min
2845,90 min
2846,82 min
2847,195 min
2848,82 min
2849,75 min
2850,90 min
2851,93 min
2852,48 min
2853,91 min
2854,63 min
2855,88 min
2856,90 min
2857,90 min
2858,93 min
2859,80 min
2860,113 min
2861,133 min
2862,84 min
2863,60 min
2864,90 min
2865,121 min
2866,138 min
2867,52 min
2868,84 min
2869,99 min
2870,105 min
2871,80 min
2872,100 min
2873,100 min
2874,88 min
2875,100 min
2876,95 min
2877,90 min
2878,90 min
2879,96 min
2880,90 min
2881,90 min
2882,90 min
2883,70 min
2884,210 min
2885,90 min
2886,75 min
2887,88 min
2888,98 min
2889,85 min
2890,50 min
2891,90 min
2892,83 min
2893,52 min
2894,97 min
2895,114 min
2896,90 min
2897,115 min
2898,133 min
2899,56 min
2900,96 min
2901,94 min
2902,141 min
2903,100 min
2904,132 min
2905,75 min
2906,90 min
2907,91 min
2908,255 min
2909,90 min
2910,115 min
2911,100 min
2912,92 min
2913,88 min
2914,91 min
2915,55 min
2916,152 min
2917,90 min
2918,108 min
2919,90 min
2920,99 min
2921,79 min
2922,69 min
2923,90 min
2924,137 min
2925,105 min
2926,109 min
2927,141 min
2928,110 min
2929,95 min
2930,120 min
2931,85 min
2932,162 min
2933,93 min
2934,119 min
2935,60 min
2936,57 min
2937,150 min
2938,150 min
2939,150 min
2940,150 min
2941,150 min
2942,60 min
2943,107 min
2944,108 min
2945,86 min
2946,165 min
2947,88 min
2948,98 min
2949,49 min
2950,74 min
2951,51 min
2952,86 min
2953,115 min
2954,90 min
2955,60 min
2956,74 min
2957,153 min
2958,58 min
2959,174 min
2960,86 min
2961,139 min
2962,109 min
2963,58 min
2964,86 min
2965,98 min
2966,46 min
2967,56 min
2968,91 min
2969,72 min
2970,92 min
2971,60 min
2972,83 min
2973,110 min
2974,60 min
2975,129 min
2976,145 min
2977,135 min
2978,100 min
2979,87 min
2980,85 min
2981,45 min
2982,45 min
2983,50 min
2984,91 min
2985,72 min
2986,80 min
2987,83 min
2988,89 min
2989,148 min
2990,111 min
2991,51 min
2992,84 min
2993,90 min
2994,157 min
2995,73 min
2996,76 min
2997,56 min
2998,150 min
2999,119 min
3000,128 min
3001,115 min
3002,99 min
3003,125 min
3004,120 min
3005,93 min
3006,89 min
3007,83 min
3008,81 min
3009,82 min
3010,89 min
3011,68 min
3012,119 min
3013,118 min
3014,103 min
3015,65 min
3016,53 min
3017,124 min
3018,116 min
3019,118 min
3020,157 min
3021,120 min
3022,53 min
3023,92 min
3024,104 min
3025,87 min
3026,78 min
3027,61 min
3028,96 min
3029,126 min
3030,90 min
3031,90 min
3032,86 min
3033,100 min
3034,82 min
3035,111 min
3036,170 min
3037,110 min
3038,101 min
3039,90 min
3040,158 min
3041,112 min
3042,72 min
3043,96 min
3044,92 min
3045,98 min
3046,132 min
3047,96 min
3048,91 min
3049,112 min
3050,78 min
3051,94 min
3052,107 min
3053,95 min
3054,93 min
3055,99 min
3056,96 min
3057,90 min
3058,96 min
3059,112 min
3060,165 min
3061,125 min
3062,82 min
3063,158 min
3064,93 min
3065,101 min
3066,88 min
3067,86 min
3068,101 min
3069,103 min
3070,56 min
3071,165 min
3072,50 min
3073,96 min
3074,82 min
3075,96 min
3076,93 min
3077,90 min
3078,122 min
3079,93 min
3080,50 min
3081,87 min
3082,60 min
3083,85 min
3084,113 min
3085,105 min
3086,90 min
3087,84 min
3088,80 min
3089,99 min
3090,103 min
3091,60 min
3092,85 min
3093,155 min
3094,175 min
3095,150 min
3096,100 min
3097,78 min
3098,88 min
3099,155 min
3100,90 min
3101,60 min
3102,80 min
3103,90 min
3104,107 min
3105,110 min
3106,86 min
3107,82 min
3108,89 min
3109,50 min
3110,100 min
3111,100 min
3112,116 min
3113,104 min
3114,94 min
3115,96 min
3116,90 min
3117,99 min
3118,103 min
3119,88 min
3120,86 min
3121,95 min
3122,118 min
3123,102 min
3124,105 min
3125,60 min
3126,59 min
3127,89 min
3128,101 min
3129,123 min
3130,92 min
3131,110 min
3132,90 min
3133,90 min
3134,115 min
3135,65 min
3136,94 min
3137,91 min
3138,103 min
3139,90 min
3140,131 min
3141,89 min
3142,120 min
3143,101 min
3144,90 min
3145,100 min
3146,90 min
3147,114 min
3148,60 min
3149,82 min
3150,97 min
3151,93 min
3152,85 min
3153,96 min
3154,86 min
3155,70 min
3156,90 min
3157,50 min
3158,160 min
3159,81 min
3160,90 min
3161,119 min
3162,100 min
3163,95 min
3164,173 min
3165,104 min
3166,90 min
3167,92 min
3168,100 min
3169,102 min
3170,138 min
3171,162 min
3172,91 min
3173,95 min
3174,60 min
3175,90 min
3176,110 min
3177,70 min
3178,150 min
3179,92 min
3180,90 min
3181,90 min
3182,74 min
3183,60 min
3184,84 min
3185,82 min
3186,122 min
3187,94 min
3188,96 min
3189,47 min
3190,107 min
3191,73 min
3192,101 min
3193,102 min
3194,100 min
3195,88 min
3196,84 min
3197,86 min
3198,90 min
3199,85 min
3200,95 min
3201,90 min
3202,91 min
3203,93 min
3204,89 min
3205,76 min
3206,97 min
3207,115 min
3208,78 min
3209,50 min
3210,79 min
3211,82 min
3212,81 min
3213,126 min
3214,85 min
3215,62 min
3216,49 min
3217,51 min
3218,110 min
3219,88 min
3220,72 min
3221,50 min
3222,100 min
3223,96 min
3224,117 min
3225,50 min
3226,86 min
3227,56 min
3228,53 min
3229,51 min
3230,96 min
3231,65 min
3232,52 min
3233,86 min
3234,89 min
3235,136 min
3236,93 min
3237,99 min
3238,117 min
3239,151 min
3240,55 min
3241,115 min
3242,112 min
3243,80 min
3244,92 min
3245,110 min
3246,90 min
3247,108 min
3248,110 min
3249,80 min
3250,88 min
3251,102 min
3252,96 min
3253,112 min
3254,90 min
3255,129 min
3256,59 min
3257,62 min
3258,60 min
3259,80 min
3260,117 min
3261,88 min
3262,95 min
3263,90 min
3264,103 min
3265,70 min
3266,120 min
3267,92 min
3268,83 min
3269,83 min
3270,93 min
3271,108 min
3272,94 min
3273,112 min
3274,98 min
3275,60 min
3276,60 min
3277,97 min
3278,77 min
3279,104 min
3280,113 min
3281,112 min
3282,71 min
3283,103 min
3284,97 min
3285,100 min
3286,98 min
3287,95 min
3288,93 min
3289,98 min
3290,83 min
3291,90 min
3292,85 min
3293,115 min
3294,120 min
3295,82 min
3296,98 min
3297,180 min
3298,99 min
3299,90 min
3300,96 min
3301,112 min
3302,135 min
3303,89 min
3304,86 min
3305,103 min
3306,97 min
3307,105 min
3308,115 min
3309,105 min
3310,110 min
3311,105 min
3312,75 min
3313,82 min
3314,120 min
3315,180 min
3316,122 min
3317,90 min
3318,93 min
3319,109 min
3320,96 min
3321,93 min
3322,85 min
3323,93 min
3324,90 min
3325,90 min
3326,90 min
3327,128 min
3328,110 min
3329,93 min
3330,90 min
3331,76 min
3332,88 min
3333,95 min
3334,71 min
3335,75 min
3336,90 min
3337,103 min
3338,90 min
3339,121 min
3340,106 min
3341,125 min
3342,94 min
3343,87 min
3344,98 min
3345,117 min
3346,91 min
3347,132 min
3348,98 min
3349,101 min
3350,95 min
3351,91 min
3352,120 min
3353,78 min
3354,98 min
3355,76 min
3356,123 min
3357,88 min
3358,87 min
3359,149 min
3360,80 min
3361,150 min
3362,90 min
3363,103 min
3364,116 min
3365,125 min
3366,116 min
3367,118 min
3368,174 min
3369,115 min
3370,85 min
3371,90 min
3372,152 min
3373,96 min
3374,92 min
3375,144 min
3376,142 min
3377,138 min
3378,70 min
3379,60 min
3380,104 min
3381,99 min
3382,91 min
3383,80 min
3384,94 min
3385,90 min
3386,90 min
3387,96 min
3388,60 min
3389,97 min
3390,97 min
3391,91 min
3392,83 min
3393,93 min
3394,83 min
3395,95 min
3396,85 min
3397,104 min
3398,89 min
3399,160 min
3400,76 min
3401,57 min
3402,60 min
3403,108 min
3404,87 min
3405,92 min
3406,95 min
3407,103 min
3408,98 min
3409,125 min
3410,110 min
3411,102 min
3412,91 min
3413,88 min
3414,110 min
3415,87 min
3416,132 min
3417,94 min
3418,100 min
3419,102 min
3420,89 min
3421,142 min
3422,111 min
3423,102 min
3424,95 min
3425,93 min
3426,96 min
3427,138 min
3428,94 min
3429,83 min
3430,86 min
3431,118 min
3432,95 min
3433,91 min
3434,113 min
3435,102 min
3436,60 min
3437,109 min
3438,100 min
3439,86 min
3440,98 min
3441,73 min
3442,93 min
3443,79 min
3444,95 min
3445,105 min
3446,85 min
3447,117 min
3448,90 min
3449,83 min
3450,76 min
3451,86 min
3452,100 min
3453,96 min
3454,93 min
3455,90 min
3456,99 min
3457,96 min
3458,97 min
3459,134 min
3460,100 min
3461,93 min
3462,102 min
3463,53 min
3464,103 min
3465,116 min
3466,97 min
3467,60 min
3468,91 min
3469,107 min
3470,100 min
3471,92 min
3472,100 min
3473,65 min
3474,90 min
3475,95 min
3476,90 min
3477,61 min
3478,61 min
3479,50 min
3480,90 min
3481,89 min
3482,56 min
3483,59 min
3484,103 min
3485,99 min
3486,96 min
3487,90 min
3488,107 min
3489,95 min
3490,47 min
3491,107 min
3492,100 min
3493,95 min
3494,101 min
3495,88 min
3496,100 min
3497,100 min
3498,86 min
3499,106 min
3500,125 min
3501,102 min
3502,95 min
3503,112 min
3504,125 min
3505,95 min
3506,90 min
3507,90 min
3508,81 min
3509,84 min
3510,90 min
3511,86 min
3512,145 min
3513,60 min
3514,87 min
3515,95 min
3516,84 min
3517,83 min
3518,92 min
3519,113 min
3520,57 min
3521,85 min
3522,90 min
3523,80 min
3524,60 min
3525,90 min
3526,88 min
3527,87 min
3528,85 min
3529,101 min
3530,100 min
3531,100 min
3532,90 min
3533,108 min
3534,56 min
3535,56 min
3536,95 min
3537,87 min
3538,85 min
3539,95 min
3540,81 min
3541,84 min
3542,100 min
3543,81 min
3544,95 min
3545,90 min
3546,151 min
3547,100 min
3548,91 min
3549,88 min
3550,89 min
3551,115 min
3552,94 min
3553,100 min
3554,100 min
3555,85 min
3556,90 min
3557,94 min
3558,87 min
3559,79 min
3560,85 min
3561,120 min
3562,86 min
3563,103 min
3564,92 min
3565,105 min
3566,105 min
3567,90 min
3568,85 min
3569,92 min
3570,112 min
3571,90 min
3572,114 min
3573,108 min
3574,110 min
3575,105 min
3576,112 min
3577,50 min
3578,90 min
3579,90 min
3580,90 min
3581,90 min
3582,96 min
3583,130 min
3584,111 min
3585,97 min
3586,94 min
3587,100 min
3588,92 min
3589,112 min
3590,110 min
3591,88 min
3592,89 min
3593,93 min
3594,90 min
3595,60 min
3596,89 min
3597,120 min
3598,106 min
3599,117 min
3600,102 min
3601,93 min
3602,97 min
3603,74 min
3604,105 min
3605,85 min
3606,104 min
3607,96 min
3608,115 min
3609,158 min
3610,80 min
3611,138 min
3612,100 min
3613,58 min
3614,61 min
3615,95 min
3616,98 min
3617,108 min
3618,118 min
3619,118 min
3620,87 min
3621,113 min
3622,97 min
3623,127 min
3624,78 min
3625,94 min
3626,91 min
3627,97 min
3628,92 min
3629,78 min
3630,142 min
3631,108 min
3632,100 min
3633,50 min
3634,106 min
3635,101 min
3636,100 min
3637,88 min
3638,111 min
3639,96 min
3640,89 min
3641,129 min
3642,95 min
3643,90 min
3644,90 min
3645,62 min
3646,58 min
3647,86 min
3648,82 min
3649,102 min
3650,120 min
3651,45 min
3652,50 min
3653,60 min
3654,102 min
3655,97 min
3656,92 min
3657,91 min
3658,83 min
3659,93 min
3660,90 min
3661,108 min
3662,70 min
3663,62 min
3664,78 min
3665,92 min
3666,60 min
3667,102 min
3668,88 min
3669,85 min
3670,85 min
3671,109 min
3672,180 min
3673,115 min
3674,83 min
3675,78 min
3676,105 min
3677,92 min
3678,108 min
3679,85 min
3680,92 min
3681,87 min
3682,102 min
3683,98 min
3684,150 min
3685,100 min
3686,83 min
3687,103 min
3688,96 min
3689,97 min
3690,165 min
3691,80 min
3692,106 min
3693,102 min
3694,101 min
3695,135 min
3696,106 min
3697,75 min
3698,90 min
3699,90 min
3700,45 min
3701,46 min
3702,93 min
3703,98 min
3704,70 min
3705,95 min
3706,89 min
3707,63 min
3708,95 min
3709,65 min
3710,90 min
3711,97 min
3712,95 min
3713,93 min
3714,97 min
3715,96 min
3716,107 min
3717,90 min
3718,145 min
3719,90 min
3720,92 min
3721,146 min
3722,87 min
3723,88 min
3724,61 min
3725,88 min
3726,90 min
3727,112 min
3728,140 min
3729,86 min
3730,94 min
3731,92 min
3732,91 min
3733,70 min
3734,84 min
3735,119 min
3736,133 min
3737,128 min
3738,90 min
3739,106 min
3740,90 min
3741,100 min
3742,88 min
3743,100 min
3744,53 min
3745,108 min
3746,72 min
3747,97 min
3748,92 min
3749,95 min
3750,150 min
3751,162 min
3752,92 min
3753,85 min
3754,116 min
3755,106 min
3756,89 min
3757,104 min
3758,107 min
3759,90 min
3760,99 min
3761,78 min
3762,90 min
3763,64 min
3764,92 min
3765,155 min
3766,92 min
3767,97 min
3768,91 min
3769,97 min
3770,102 min
3771,125 min
3772,46 min
3773,86 min
3774,103 min
3775,92 min
3776,91 min
3777,106 min
3778,88 min
3779,180 min
3780,115 min
3781,91 min
3782,105 min
3783,72 min
3784,97 min
3785,159 min
3786,90 min
3787,71 min
3788,59 min
3789,59 min
3790,100 min
3791,124 min
3792,98 min
3793,95 min
3794,60 min
3795,105 min
3796,55 min
3797,112 min
3798,92 min
3799,116 min
3800,89 min
3801,88 min
3802,105 min
3803,65 min
3804,85 min
3805,92 min
3806,91 min
3807,92 min
3808,98 min
3809,65 min
3810,76 min
3811,94 min
3812,78 min
3813,110 min
3814,60 min
3815,85 min
3816,80 min
3817,70 min
3818,91 min
3819,94 min
3820,148 min
3821,101 min
3822,116 min
3823,83 min
3824,103 min
3825,90 min
3826,91 min
3827,93 min
3828,98 min
3829,94 min
3830,110 min
3831,103 min
3832,150 min
3833,90 min
3834,84 min
3835,80 min
3836,92 min
3837,78 min
3838,58 min
3839,132 min
3840,84 min
3841,154 min
3842,59 min
3843,114 min
3844,90 min
3845,72 min
3846,88 min
3847,71 min
3848,111 min
3849,90 min
3850,120 min
3851,95 min
3852,91 min
3853,82 min
3854,121 min
3855,93 min
3856,89 min
3857,108 min
3858,114 min
3859,87 min
3860,90 min
3861,93 min
3862,114 min
3863,49 min
3864,92 min
3865,103 min
3866,103 min
3867,100 min
3868,77 min
3869,90 min
3870,100 min
3871,87 min
3872,100 min
3873,146 min
3874,140 min
3875,110 min
3876,106 min
3877,94 min
3878,96 min
3879,83 min
3880,127 min
3881,60 min
3882,56 min
3883,125 min
3884,90 min
3885,97 min
3886,80 min
3887,61 min
3888,60 min
3889,96 min
3890,91 min
3891,118 min
3892,112 min
3893,106 min
3894,109 min
3895,131 min
3896,100 min
3897,120 min
3898,80 min
3899,100 min
3900,46 min
3901,150 min
3902,137 min
3903,60 min
3904,60 min
3905,104 min
3906,95 min
3907,76 min
3908,100 min
3909,75 min
3910,86 min
3911,91 min
3912,90 min
3913,171 min
3914,97 min
3915,88 min
3916,95 min
3917,92 min
3918,124 min
3919,83 min
3920,87 min
3921,106 min
3922,88 min
3923,89 min
3924,90 min
3925,99 min
3926,150 min
3927,158 min
3928,96 min
3929,97 min
3930,94 min
3931,120 min
3932,72 min
3933,140 min
3934,113 min
3935,84 min
3936,144 min
3937,136 min
3938,163 min
3939,99 min
3940,130 min
3941,114 min
3942,90 min
3943,81 min
3944,142 min
3945,98 min
3946,90 min
3947,94 min
3948,80 min
3949,103 min
3950,90 min
3951,108 min
3952,126 min
3953,73 min
3954,60 min
3955,86 min
3956,85 min
3957,182 min
3958,93 min
3959,110 min
3960,87 min
3961,124 min
3962,100 min
3963,88 min
3964,125 min
3965,83 min
3966,52 min
3967,83 min
3968,130 min
3969,122 min
3970,128 min
3971,100 min
3972,105 min
3973,133 min
3974,90 min
3975,90 min
3976,76 min
3977,94 min
3978,95 min
3979,111 min
3980,95 min
3981,70 min
3982,105 min
3983,83 min
3984,103 min
3985,92 min
3986,85 min
3987,130 min
3988,119 min
3989,67 min
3990,85 min
3991,99 min
3992,95 min
3993,92 min
3994,129 min
3995,141 min
3996,95 min
3997,121 min
3998,97 min
3999,90 min
4000,90 min
4001,105 min
4002,100 min
4003,147 min
4004,115 min
4005,113 min
4006,90 min
4007,104 min
4008,94 min
4009,84 min
4010,103 min
4011,115 min
4012,95 min
4013,115 min
4014,98 min
4015,90 min
4016,112 min
4017,106 min
4018,105 min
4019,61 min
4020,100 min
4021,112 min
4022,100 min
4023,125 min
4024,85 min
4025,97 min
4026,88 min
4027,108 min
4028,94 min
4029,100 min
4030,99 min
4031,105 min
4032,126 min
4033,90 min
4034,120 min
4035,120 min
4036,185 min
4037,98 min
4038,101 min
4039,99 min
4040,129 min
4041,112 min
4042,95 min
4043,96 min
4044,105 min
4045,110 min
4046,100 min
4047,100 min
4048,174 min
4049,150 min
4050,86 min
4051,87 min
4052,95 min
4053,89 min
4054,91 min
4055,96 min
4056,78 min
4057,60 min
4058,90 min
4059,129 min
4060,133 min
4061,85 min
4062,95 min
4063,76 min
4064,115 min
4065,80 min
4066,45 min
4067,95 min
4068,80 min
4069,100 min
4070,91 min
4071,84 min
4072,93 min
4073,124 min
4074,81 min
4075,83 min
4076,90 min
4077,75 min
4078,99 min
4079,86 min
4080,102 min
4081,95 min
4082,89 min
4083,91 min
4084,86 min
4085,94 min
4086,90 min
4087,90 min
4088,94 min
4089,92 min
4090,90 min
4091,90 min
4092,76 min
4093,160 min
4094,91 min
4095,85 min
4096,88 min
4097,161 min
4098,95 min
4099,100 min
4100,102 min
4101,99 min
4102,97 min
4103,89 min
4104,53 min
4105,93 min
4106,90 min
4107,94 min
4108,46 min
4109,88 min
4110,47 min
4111,135 min
4112,134 min
4113,173 min
4114,60 min
4115,60 min
4116,61 min
